User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 140
Test name: Ilya 1000 Segregants (02-07-20),Date: 2/14/2020,Time: 6:33:35 PM

ID1: 019,ID2: Wizard script `IA 1000_Seg`, Prot.1, Plate 12, Friday, February 14, 2020 5:42:36 PM,
Absorbance

Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.826,0.766,0.84,0.783,0.833,0.796,0.779,0.818,0.807,0.827,0.821,0.825
B,0.821,0.831,0.83,0.813,0.791,0.845,0.813,0.851,0.821,0.84,0.86,0.853
C,0.849,0.866,0.838,0.777,0.762,0.787,0.787,0.783,0.804,0.82,0.831,0.859
D,0.859,0.82,0.843,0.816,0.8,0.811,0.812,0.796,0.818,0.85,0.831,0.855
E,0.849,0.841,0.825,0.815,0.789,0.817,0.823,0.819,0.832,0.844,0.864,0.838
F,0.806,0.828,0.874,0.797,0.787,0.793,0.785,0.797,0.814,0.83,0.868,0.852
G,0.78,0.815,0.839,0.842,0.778,0.797,0.766,0.778,0.83,0.822,0.854,0.854
H,0.814,0.785,0.818,0.831,0.817,0.793,0.788,0.78,0.806,0.826,0.851,0.84

Cycle 2 (1 h 44 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.835,0.764,0.85,0.777,0.837,0.801,0.783,0.811,0.802,0.827,0.835,0.839
B,0.827,0.844,0.846,0.817,0.782,0.84,0.817,0.849,0.824,0.84,0.864,0.856
C,0.854,0.874,0.853,0.777,0.768,0.808,0.799,0.806,0.823,0.827,0.854,0.871
D,0.858,0.815,0.849,0.809,0.804,0.817,0.827,0.808,0.809,0.854,0.841,0.848
E,0.856,0.849,0.823,0.809,0.797,0.814,0.817,0.814,0.827,0.835,0.856,0.829
F,0.805,0.835,0.879,0.783,0.807,0.804,0.802,0.825,0.837,0.835,0.872,0.844
G,0.776,0.818,0.845,0.841,0.776,0.813,0.786,0.797,0.851,0.825,0.844,0.844
H,0.812,0.779,0.82,0.83,0.823,0.798,0.798,0.785,0.823,0.822,0.848,0.834

Cycle 3 (3 h 28 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.855,0.766,0.87,0.771,0.856,0.803,0.786,0.817,0.799,0.832,0.839,0.852
B,0.84,0.863,0.863,0.806,0.779,0.853,0.817,0.863,0.809,0.828,0.858,0.859
C,0.881,0.892,0.866,0.783,0.776,0.803,0.813,0.809,0.825,0.833,0.872,0.884
D,0.885,0.823,0.866,0.809,0.803,0.817,0.844,0.803,0.819,0.856,0.841,0.847
E,0.881,0.867,0.826,0.803,0.802,0.826,0.823,0.82,0.829,0.842,0.864,0.831
F,0.814,0.837,0.892,0.798,0.804,0.807,0.79,0.812,0.84,0.834,0.874,0.835
G,0.776,0.82,0.845,0.851,0.784,0.815,0.784,0.802,0.848,0.825,0.847,0.832
H,0.811,0.78,0.828,0.839,0.823,0.803,0.796,0.776,0.809,0.809,0.842,0.83

Cycle 4 (5 h 11 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.881,0.762,0.889,0.765,0.865,0.816,0.785,0.827,0.802,0.851,0.853,0.854
B,0.854,0.896,0.879,0.809,0.785,0.872,0.835,0.878,0.806,0.844,0.87,0.87
C,0.907,0.922,0.892,0.778,0.77,0.805,0.808,0.81,0.827,0.833,0.873,0.881
D,0.897,0.832,0.901,0.821,0.807,0.827,0.854,0.809,0.828,0.859,0.834,0.849
E,0.914,0.898,0.83,0.798,0.788,0.815,0.812,0.819,0.837,0.848,0.871,0.83
F,0.816,0.841,0.918,0.804,0.8,0.804,0.796,0.82,0.838,0.842,0.868,0.852
G,0.774,0.817,0.856,0.881,0.784,0.815,0.781,0.798,0.84,0.821,0.845,0.833
H,0.815,0.784,0.839,0.844,0.834,0.805,0.808,0.775,0.816,0.824,0.837,0.822

Cycle 5 (6 h 55 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.916,0.768,0.907,0.763,0.877,0.834,0.781,0.837,0.793,0.857,0.844,0.846
B,0.863,0.927,0.904,0.815,0.783,0.887,0.842,0.882,0.811,0.848,0.876,0.868
C,0.948,0.945,0.917,0.783,0.776,0.813,0.811,0.818,0.827,0.834,0.871,0.88
D,0.908,0.84,0.943,0.813,0.799,0.819,0.844,0.804,0.801,0.859,0.826,0.849
E,0.935,0.922,0.833,0.8,0.79,0.82,0.817,0.816,0.827,0.836,0.864,0.825
F,0.817,0.847,0.925,0.79,0.796,0.793,0.782,0.808,0.824,0.844,0.866,0.85
G,0.772,0.814,0.873,0.902,0.762,0.805,0.768,0.781,0.845,0.809,0.835,0.831
H,0.82,0.786,0.84,0.857,0.836,0.809,0.803,0.774,0.822,0.829,0.836,0.833

Cycle 6 (8 h 39 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.956,0.768,0.916,0.762,0.888,0.847,0.785,0.849,0.808,0.883,0.854,0.868
B,0.873,0.97,0.927,0.824,0.784,0.89,0.852,0.878,0.794,0.841,0.86,0.858
C,1.002,0.979,0.942,0.79,0.78,0.812,0.811,0.818,0.826,0.831,0.888,0.904
D,0.914,0.843,0.984,0.829,0.808,0.823,0.863,0.815,0.813,0.881,0.828,0.849
E,0.956,0.958,0.83,0.794,0.794,0.818,0.816,0.811,0.816,0.833,0.855,0.826
F,0.83,0.855,0.945,0.785,0.799,0.806,0.797,0.825,0.833,0.852,0.871,0.847
G,0.771,0.817,0.886,0.926,0.782,0.822,0.786,0.798,0.866,0.827,0.845,0.836
H,0.816,0.788,0.845,0.885,0.853,0.813,0.811,0.779,0.826,0.826,0.842,0.826

Cycle 7 (10 h 23 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.998,0.768,0.93,0.764,0.897,0.866,0.792,0.853,0.824,0.901,0.847,0.867
B,0.876,1.021,0.946,0.845,0.783,0.896,0.878,0.898,0.812,0.857,0.895,0.878
C,1.059,1.019,0.957,0.789,0.774,0.819,0.809,0.824,0.83,0.832,0.874,0.904
D,0.925,0.851,1.035,0.825,0.806,0.823,0.857,0.8,0.8,0.877,0.822,0.857
E,0.991,1.016,0.837,0.8,0.793,0.813,0.817,0.826,0.825,0.842,0.859,0.836
F,0.831,0.857,0.951,0.786,0.803,0.801,0.787,0.819,0.825,0.854,0.871,0.84
G,0.769,0.815,0.899,0.947,0.767,0.805,0.774,0.788,0.84,0.815,0.836,0.825
H,0.816,0.79,0.84,0.926,0.856,0.812,0.811,0.78,0.828,0.835,0.829,0.834

Cycle 8 (12 h 7 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.051,0.765,0.935,0.762,0.899,0.887,0.791,0.869,0.811,0.921,0.849,0.875
B,0.883,1.105,0.961,0.86,0.784,0.908,0.905,0.911,0.818,0.856,0.901,0.905
C,1.149,1.083,0.97,0.796,0.776,0.808,0.809,0.814,0.816,0.824,0.884,0.922
D,0.931,0.855,1.098,0.841,0.808,0.823,0.875,0.807,0.816,0.892,0.829,0.847
E,1.018,1.084,0.838,0.788,0.786,0.808,0.809,0.804,0.809,0.826,0.858,0.827
F,0.839,0.871,0.969,0.779,0.803,0.803,0.793,0.815,0.828,0.853,0.866,0.842
G,0.765,0.813,0.915,0.963,0.773,0.826,0.777,0.793,0.846,0.823,0.842,0.828
H,0.815,0.794,0.841,0.972,0.859,0.813,0.817,0.779,0.829,0.824,0.834,0.818

Cycle 9 (13 h 51 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.109,0.767,0.937,0.763,0.901,0.91,0.795,0.88,0.816,0.951,0.847,0.875
B,0.883,1.203,0.971,0.881,0.789,0.911,0.937,0.923,0.817,0.862,0.91,0.911
C,1.26,1.153,0.98,0.789,0.772,0.812,0.813,0.82,0.827,0.827,0.881,0.941
D,0.935,0.862,1.149,0.849,0.811,0.827,0.874,0.809,0.814,0.909,0.822,0.855
E,1.049,1.149,0.837,0.796,0.79,0.803,0.807,0.816,0.82,0.838,0.859,0.843
F,0.839,0.904,0.984,0.778,0.804,0.807,0.803,0.823,0.837,0.859,0.866,0.865
G,0.764,0.814,0.931,0.978,0.775,0.833,0.784,0.795,0.842,0.826,0.859,0.828
H,0.816,0.797,0.84,1.012,0.853,0.808,0.819,0.774,0.819,0.833,0.828,0.822

Cycle 10 (15 h 36 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.176,0.77,0.94,0.765,0.902,0.944,0.798,0.903,0.817,0.993,0.847,0.875
B,0.886,1.307,0.977,0.895,0.782,0.91,0.983,0.931,0.812,0.848,0.907,0.916
C,1.357,1.224,0.992,0.789,0.781,0.816,0.814,0.823,0.82,0.823,0.873,0.965
D,0.932,0.869,1.209,0.84,0.795,0.814,0.859,0.797,0.795,0.902,0.813,0.856
E,1.069,1.197,0.835,0.797,0.793,0.81,0.811,0.823,0.826,0.838,0.852,0.839
F,0.843,0.938,0.98,0.784,0.803,0.794,0.79,0.82,0.822,0.858,0.85,0.837
G,0.766,0.811,0.943,0.987,0.769,0.82,0.775,0.786,0.839,0.818,0.858,0.825
H,0.814,0.793,0.842,1.06,0.864,0.813,0.824,0.787,0.827,0.837,0.827,0.828

Cycle 11 (17 h 20 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.352,0.769,0.937,0.769,0.895,1.01,0.793,0.931,0.823,1.056,0.837,0.892
B,0.885,1.405,0.984,0.943,0.785,0.92,1.045,0.938,0.806,0.838,0.929,0.942
C,1.404,1.286,1.003,0.789,0.782,0.817,0.809,0.824,0.825,0.821,0.878,0.996
D,0.933,0.877,1.351,0.85,0.813,0.825,0.863,0.804,0.81,0.928,0.817,0.867
E,1.098,1.303,0.839,0.803,0.79,0.814,0.802,0.819,0.819,0.837,0.853,0.851
F,0.86,0.963,0.993,0.773,0.8,0.799,0.798,0.818,0.816,0.852,0.862,0.845
G,0.767,0.809,0.959,0.995,0.771,0.827,0.778,0.792,0.843,0.82,0.869,0.831
H,0.815,0.8,0.839,1.12,0.865,0.817,0.819,0.78,0.828,0.834,0.822,0.817

Cycle 12 (19 h 4 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.387,0.767,0.935,0.773,0.895,1.093,0.792,0.974,0.819,1.137,0.835,0.882
B,0.892,1.482,0.989,1.017,0.789,0.92,1.131,0.951,0.806,0.852,0.922,0.978
C,1.465,1.359,1.005,0.79,0.778,0.812,0.811,0.823,0.82,0.825,0.881,1.04
D,0.931,0.878,1.345,0.868,0.819,0.824,0.873,0.808,0.814,0.929,0.804,0.86
E,1.135,1.431,0.838,0.798,0.789,0.804,0.803,0.814,0.813,0.833,0.839,0.851
F,0.878,1.014,0.989,0.774,0.801,0.799,0.794,0.818,0.831,0.85,0.854,0.842
G,0.76,0.812,0.972,0.996,0.773,0.831,0.781,0.794,0.848,0.824,0.902,0.82
H,0.816,0.797,0.839,1.196,0.867,0.815,0.819,0.776,0.824,0.827,0.819,0.821

Cycle 13 (20 h 48 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.452,0.769,0.933,0.782,0.897,1.16,0.799,1.034,0.821,1.223,0.856,0.906
B,0.886,1.527,0.992,1.093,0.781,0.919,1.199,0.955,0.794,0.847,0.924,1.027
C,1.493,1.401,1.011,0.796,0.786,0.816,0.809,0.813,0.818,0.828,0.878,1.099
D,0.925,0.895,1.396,0.861,0.811,0.822,0.861,0.807,0.806,0.934,0.807,0.867
E,1.178,1.442,0.83,0.796,0.792,0.802,0.803,0.822,0.812,0.829,0.832,0.85
F,0.91,1.102,0.998,0.776,0.802,0.794,0.795,0.813,0.826,0.857,0.862,0.847
G,0.765,0.814,0.994,0.998,0.773,0.831,0.781,0.793,0.844,0.824,0.92,0.825
H,0.811,0.801,0.834,1.276,0.869,0.823,0.827,0.792,0.839,0.833,0.825,0.817

Cycle 14 (22 h 32 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.504,0.765,0.931,0.793,0.9,1.262,0.807,1.11,0.821,1.335,0.827,0.922
B,0.888,1.575,0.997,1.196,0.781,0.925,1.299,0.961,0.815,0.849,0.951,1.111
C,1.525,1.433,1.011,0.792,0.781,0.809,0.807,0.81,0.813,0.814,0.872,1.205
D,0.919,0.9,1.443,0.879,0.816,0.821,0.861,0.805,0.809,0.947,0.798,0.844
E,1.213,1.5,0.831,0.797,0.789,0.812,0.809,0.82,0.814,0.825,0.831,0.854
F,0.936,1.19,0.993,0.777,0.796,0.792,0.794,0.813,0.819,0.839,0.838,0.834
G,0.762,0.813,1.01,1,0.766,0.836,0.782,0.795,0.842,0.822,0.995,0.824
H,0.807,0.798,0.835,1.44,0.864,0.82,0.824,0.787,0.833,0.838,0.82,0.82

Cycle 15 (24 h 16 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.547,0.767,0.928,0.799,0.9,1.36,0.807,1.198,0.822,1.443,0.825,0.961
B,0.889,1.611,1.002,1.275,0.787,0.924,1.387,0.972,0.816,0.858,0.965,1.193
C,1.557,1.462,1.014,0.788,0.789,0.811,0.808,0.817,0.814,0.812,0.873,1.279
D,0.914,0.916,1.485,0.897,0.824,0.824,0.869,0.807,0.817,0.951,0.797,0.845
E,1.267,1.538,0.825,0.795,0.791,0.813,0.806,0.816,0.815,0.821,0.835,0.851
F,0.96,1.25,0.992,0.772,0.786,0.79,0.788,0.813,0.82,0.829,0.849,0.837
G,0.765,0.815,1.033,0.999,0.772,0.833,0.787,0.796,0.846,0.827,1.09,0.839
H,0.808,0.799,0.838,1.457,0.868,0.831,0.829,0.792,0.833,0.837,0.824,0.822

Cycle 16 (26 h 1 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.578,0.762,0.926,0.809,0.894,1.446,0.812,1.244,0.824,1.518,0.814,1.027
B,0.88,1.637,1.004,1.414,0.78,0.924,1.467,0.974,0.805,0.832,0.971,1.298
C,1.575,1.503,1.016,0.791,0.784,0.807,0.806,0.811,0.804,0.81,0.871,1.405
D,0.915,0.928,1.545,0.925,0.826,0.819,0.856,0.802,0.808,0.966,0.811,0.858
E,1.316,1.587,0.826,0.803,0.788,0.813,0.808,0.825,0.831,0.829,0.827,0.853
F,1.015,1.383,0.994,0.776,0.795,0.792,0.787,0.81,0.816,0.841,0.85,0.837
G,0.765,0.812,1.052,0.997,0.765,0.826,0.779,0.791,0.841,0.828,1.137,0.823
H,0.807,0.798,0.833,1.5,0.864,0.831,0.823,0.793,0.834,0.84,0.819,0.81

Cycle 17 (27 h 45 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,1.613,0.765,0.925,0.822,0.895,1.494,0.812,1.344,0.823,1.565,0.828,1.098
B,0.881,1.637,1.008,1.477,0.782,0.93,1.504,0.993,0.806,0.841,0.992,1.399
