User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 137
Test name: Ilya 1000 Segregants (02-07-20),Date: 2/14/2020,Time: 6:19:43 PM

ID1: 016,ID2: Wizard script `IA 1000_Seg`, Prot.1, Plate 9, Friday, February 14, 2020 5:42:36 PM,
Absorbance

Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.848,0.809,0.831,0.835,0.823,0.824,0.83,0.829,0.848,0.834,0.892,0.835
B,0.804,0.837,0.828,0.832,0.828,0.819,0.841,0.844,0.873,0.862,0.901,0.901
C,0.824,0.828,0.825,0.836,0.815,0.824,0.806,0.825,0.821,0.824,0.85,0.876
D,0.838,0.821,0.819,0.831,0.835,0.845,0.804,0.788,0.818,0.834,0.829,0.837
E,0.821,0.79,0.799,0.807,0.841,0.822,0.822,0.804,0.82,0.822,0.85,0.825
F,0.811,0.797,0.791,0.818,0.815,0.835,0.828,0.826,0.847,0.832,0.885,0.833
G,0.779,0.797,0.813,0.777,0.786,0.802,0.78,0.813,0.824,0.832,0.859,0.844
H,0.796,0.792,0.823,0.775,0.873,0.887,0.874,0.835,0.877,0.845,0.85,0.839

Cycle 2 (1 h 44 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.832,0.802,0.822,0.836,0.81,0.826,0.829,0.838,0.855,0.825,0.904,0.847
B,0.795,0.822,0.808,0.824,0.799,0.808,0.828,0.817,0.841,0.82,0.871,0.861
C,0.821,0.818,0.821,0.82,0.811,0.809,0.811,0.832,0.828,0.827,0.861,0.878
D,0.834,0.821,0.824,0.834,0.835,0.841,0.815,0.794,0.832,0.839,0.827,0.842
E,0.826,0.794,0.797,0.807,0.849,0.826,0.823,0.803,0.818,0.825,0.838,0.821
F,0.821,0.813,0.786,0.809,0.829,0.82,0.836,0.81,0.837,0.815,0.87,0.822
G,0.785,0.808,0.833,0.788,0.798,0.825,0.811,0.832,0.841,0.852,0.858,0.843
H,0.813,0.8,0.826,0.789,0.891,0.899,0.888,0.845,0.876,0.843,0.834,0.84

Cycle 3 (3 h 28 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.84,0.817,0.816,0.847,0.803,0.823,0.842,0.833,0.86,0.835,0.901,0.862
B,0.807,0.821,0.822,0.829,0.811,0.809,0.832,0.818,0.841,0.837,0.914,0.88
C,0.822,0.817,0.818,0.803,0.797,0.8,0.798,0.801,0.814,0.81,0.852,0.865
