User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 295
Test name: Ilya T26 - Reference DUP240s (4-26-21),Date: 5/29/2021,Time: 5:56:29 PM

ID1: 004,ID2: Wizard script `IA T26_RefDUPs`, Prot.1, Plate 4, Saturday, May 29, 2021 5:47:54 PM,
Absorbance

Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.674,0.687,0.69,0.728,0.718,0.715,0.742,0.728,,
C,,,0.696,0.695,0.703,0.727,0.711,0.738,0.739,0.781,,
D,,,0.68,0.704,0.696,0.722,0.734,0.743,0.749,0.75,,
E,,,0.666,0.665,0.705,0.703,0.704,0.736,0.724,0.727,,
F,,,0.665,0.653,0.67,0.678,0.694,0.71,0.698,0.726,,
G,,,0.675,0.671,0.674,0.674,0.697,0.708,0.721,0.717,,
H,,,,,,,,,,,,

Cycle 2 (0 h 13 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.686,0.688,0.7,0.736,0.715,0.709,0.729,0.726,,
C,,,0.681,0.691,0.697,0.726,0.704,0.739,0.725,0.754,,
D,,,0.68,0.704,0.702,0.705,0.707,0.722,0.726,0.743,,
E,,,0.683,0.675,0.704,0.686,0.693,0.716,0.701,0.7,,
F,,,0.683,0.68,0.679,0.688,0.695,0.718,0.709,0.727,,
G,,,0.688,0.691,0.679,0.668,0.689,0.677,0.699,0.712,,
H,,,,,,,,,,,,

Cycle 3 (0 h 25 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.704,0.688,0.703,0.75,0.715,0.728,0.738,0.735,,
C,,,0.683,0.693,0.702,0.726,0.708,0.731,0.732,0.762,,
D,,,0.684,0.697,0.695,0.716,0.701,0.73,0.726,0.73,,
E,,,0.681,0.676,0.708,0.692,0.681,0.715,0.685,0.692,,
F,,,0.686,0.678,0.688,0.684,0.701,0.722,0.716,0.742,,
