User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 294
Test name: Ilya T26 - Reference DUP240s (4-26-21),Date: 5/29/2021,Time: 5:53:40 PM

ID1: 003,ID2: Wizard script `IA T26_RefDUPs`, Prot.1, Plate 3, Saturday, May 29, 2021 5:47:54 PM,
Absorbance

Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.678,0.635,0.639,0.701,0.692,0.688,0.695,0.719,,
C,,,0.65,0.633,0.66,0.682,0.668,0.714,0.709,0.709,,
D,,,0.657,0.665,0.658,0.704,0.713,0.707,0.706,0.724,,
E,,,0.636,0.625,0.645,0.682,0.66,0.681,0.688,0.693,,
F,,,0.645,0.608,0.628,0.649,0.642,0.647,0.689,0.689,,
G,,,0.65,0.623,0.657,0.677,0.672,0.659,0.677,0.72,,
H,,,,,,,,,,,,

Cycle 2 (0 h 13 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.691,0.649,0.662,0.712,0.689,0.679,0.689,0.706,,
C,,,0.662,0.637,0.666,0.686,0.668,0.7,0.703,0.715,,
D,,,0.672,0.655,0.663,0.724,0.705,0.702,0.707,0.721,,
E,,,0.65,0.632,0.655,0.661,0.646,0.663,0.691,0.697,,
F,,,0.643,0.63,0.643,0.668,0.669,0.66,0.686,0.694,,
G,,,0.66,0.648,0.669,0.676,0.665,0.664,0.685,0.719,,
H,,,,,,,,,,,,

Cycle 3 (0 h 25 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.687,0.662,0.696,0.703,0.694,0.687,0.699,0.722,,
C,,,0.684,0.673,0.669,0.699,0.681,0.692,0.701,0.713,,
D,,,0.684,0.693,0.676,0.726,0.723,0.718,0.696,0.711,,
E,,,0.674,0.662,0.687,0.691,0.664,0.682,0.683,0.691,,
F,,,0.681,0.664,0.658,0.685,0.68,0.675,0.689,0.712,,
G,,,0.689,0.651,0.667,0.687,0.689,0.676,0.716,0.727,,
H,,,,,,,,,,,,

Cycle 4 (0 h 38 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.687,0.666,0.692,0.694,0.685,0.667,0.68,0.711,,
C,,,0.676,0.668,0.659,0.687,0.674,0.695,0.698,0.71,,
D,,,0.686,0.693,0.676,0.728,0.718,0.711,0.704,0.71,,
E,,,0.674,0.665,0.687,0.686,0.668,0.672,0.686,0.692,,
F,,,0.684,0.661,0.656,0.688,0.684,0.668,0.705,0.71,,
G,,,0.688,0.658,0.671,0.692,0.692,0.679,0.717,0.727,,
H,,,,,,,,,,,,

Cycle 5 (0 h 50 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.672,0.668,0.676,0.67,0.67,0.672,0.699,0.712,,
C,,,0.666,0.66,0.653,0.681,0.675,0.693,0.692,0.711,,
D,,,0.688,0.695,0.678,0.717,0.721,0.716,0.702,0.708,,
E,,,0.676,0.667,0.689,0.678,0.661,0.675,0.68,0.683,,
F,,,0.687,0.667,0.658,0.687,0.687,0.67,0.703,0.712,,
G,,,0.694,0.645,0.664,0.696,0.685,0.675,0.721,0.726,,
H,,,,,,,,,,,,

Cycle 6 (1 h 3 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.69,0.661,0.69,0.682,0.672,0.668,0.688,0.712,,
C,,,0.672,0.659,0.657,0.691,0.678,0.695,0.701,0.713,,
D,,,0.684,0.691,0.674,0.718,0.704,0.697,0.691,0.699,,
E,,,0.678,0.672,0.693,0.692,0.663,0.681,0.683,0.689,,
F,,,0.681,0.658,0.648,0.684,0.677,0.668,0.696,0.707,,
G,,,0.695,0.669,0.681,0.695,0.694,0.675,0.712,0.717,,
H,,,,,,,,,,,,

Cycle 7 (1 h 16 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.688,0.671,0.692,0.7,0.68,0.671,0.69,0.715,,
C,,,0.669,0.666,0.655,0.687,0.682,0.694,0.695,0.708,,
D,,,0.69,0.697,0.678,0.722,0.726,0.711,0.704,0.71,,
E,,,0.679,0.673,0.708,0.696,0.675,0.678,0.683,0.697,,
F,,,0.689,0.664,0.656,0.685,0.68,0.664,0.701,0.7,,
G,,,0.695,0.654,0.663,0.693,0.687,0.666,0.723,0.722,,
H,,,,,,,,,,,,

Cycle 8 (1 h 28 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.676,0.662,0.683,0.683,0.678,0.667,0.673,0.708,,
C,,,0.67,0.668,0.65,0.683,0.68,0.687,0.685,0.697,,
D,,,0.688,0.696,0.681,0.721,0.725,0.716,0.706,0.712,,
E,,,0.673,0.67,0.689,0.688,0.666,0.674,0.674,0.693,,
F,,,0.689,0.669,0.664,0.691,0.68,0.671,0.708,0.708,,
G,,,0.7,0.658,0.679,0.698,0.693,0.669,0.728,0.739,,
H,,,,,,,,,,,,

Cycle 9 (1 h 41 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
