User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 288
Test name: Ilya T30 - Chimeragenesis (5-6-21),Date: 5/6/2021,Time: 3:52:01 PM

ID1: 001,ID2: Wizard script `IA T30_Chimeras`, Prot.1, Plate 1, Thursday, May 6, 2021 3:51:56 PM,
Absorbance

Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.715,0.699,0.71,0.731,0.718,0.715,0.714,0.711,,
C,,,0.701,0.7,0.695,0.699,0.706,0.736,0.722,0.757,,
D,,,0.685,0.688,0.714,0.734,0.731,0.722,0.719,0.737,,
E,,,0.702,0.672,0.681,0.726,0.695,0.691,0.713,0.708,,
F,,,0.684,0.666,0.662,0.676,0.68,0.705,0.707,0.7,,
G,,,0.681,0.68,0.67,0.669,0.681,0.702,0.725,0.728,,
H,,,,,,,,,,,,

Cycle 2 (0 h 13 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.732,0.71,0.697,0.73,0.702,0.693,0.691,0.708,,
C,,,0.704,0.709,0.699,0.705,0.687,0.724,0.707,0.759,,
D,,,0.718,0.709,0.707,0.72,0.726,0.735,0.715,0.735,,
E,,,0.74,0.686,0.708,0.736,0.708,0.703,0.728,0.726,,
F,,,0.72,0.698,0.689,0.691,0.707,0.716,0.713,0.714,,
G,,,0.719,0.715,0.711,0.721,0.708,0.718,0.737,0.736,,
H,,,,,,,,,,,,

Cycle 3 (0 h 25 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.726,0.707,0.705,0.733,0.704,0.697,0.699,0.705,,
C,,,0.699,0.696,0.696,0.69,0.687,0.726,0.7,0.746,,
D,,,0.72,0.705,0.71,0.72,0.724,0.732,0.712,0.735,,
E,,,0.75,0.684,0.713,0.732,0.708,0.7,0.727,0.718,,
F,,,0.714,0.687,0.691,0.685,0.697,0.711,0.716,0.714,,
G,,,0.721,0.71,0.711,0.723,0.71,0.722,0.737,0.74,,
H,,,,,,,,,,,,

Cycle 4 (0 h 38 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.724,0.711,0.707,0.725,0.694,0.692,0.693,0.705,,
