User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 313
Test name: Ilya T30 - Chimeragenesis (8-8-21),Date: 8/9/2021,Time: 5:18:43 PM

ID1: 003,ID2: Wizard script `IA T30_Chimeras`, Prot.1, Plate 3, Monday, August 9, 2021 5:13:06 PM,
Absorbance

Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.691,0.69,0.722,0.737,0.738,0.725,0.762,0.745,,
C,,,0.678,0.71,0.716,0.739,0.73,0.741,0.746,0.75,,
D,,,0.683,0.704,0.735,0.767,0.755,0.751,0.732,0.755,,
E,,,0.694,0.677,0.713,0.723,0.755,0.737,0.728,0.762,,
F,,,0.695,0.698,0.691,0.709,0.706,0.717,0.733,0.729,,
G,,,0.689,0.679,0.687,0.714,0.714,0.709,0.729,0.734,,
H,,,,,,,,,,,,

Cycle 2 (0 h 12 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.686,0.69,0.718,0.742,0.732,0.74,0.772,0.748,,
C,,,0.679,0.689,0.696,0.738,0.721,0.74,0.736,0.736,,
D,,,0.669,0.691,0.722,0.748,0.746,0.741,0.725,0.745,,
E,,,0.693,0.681,0.705,0.709,0.735,0.725,0.718,0.751,,
F,,,0.684,0.673,0.69,0.689,0.711,0.704,0.731,0.716,,
G,,,0.69,0.695,0.692,0.71,0.697,0.669,0.701,0.726,,
H,,,,,,,,,,,,

Cycle 3 (0 h 25 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.696,0.69,0.718,0.726,0.726,0.718,0.737,0.718,,
C,,,0.7,0.703,0.728,0.73,0.723,0.727,0.746,0.755,,
D,,,0.678,0.703,0.737,0.772,0.743,0.743,0.739,0.75,,
E,,,0.704,0.688,0.73,0.733,0.722,0.728,0.722,0.756,,
F,,,0.692,0.687,0.697,0.701,0.709,0.718,0.725,0.708,,
G,,,0.715,0.703,0.712,0.733,0.726,0.719,0.743,0.753,,
H,,,,,,,,,,,,

Cycle 4 (0 h 37 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.693,0.689,0.71,0.73,0.726,0.743,0.747,0.738,,
C,,,0.678,0.686,0.703,0.742,0.717,0.734,0.737,0.749,,
D,,,0.669,0.693,0.721,0.742,0.739,0.735,0.721,0.743,,
E,,,0.687,0.678,0.715,0.705,0.717,0.719,0.71,0.751,,
F,,,0.684,0.668,0.693,0.68,0.706,0.69,0.717,0.711,,
G,,,0.698,0.691,0.704,0.717,0.717,0.711,0.726,0.747,,
H,,,,,,,,,,,,

Cycle 5 (0 h 49 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,,,,,,,,,,,,
B,,,0.7,0.679,0.716,0.734,0.725,0.727,0.746,0.717,,
C,,,0.707,0.711,0.721,0.744,0.722,0.721,0.758,0.737,,
D,,,0.687,0.698,0.74,0.769,0.747,0.748,0.74,0.761,,
E,,,0.704,0.711,0.734,0.723,0.717,0.726,0.72,0.759,,
F,,,0.704,0.685,0.707,0.711,0.724,0.727,0.727,0.734,,
G,,,0.716,0.71,0.714,0.725,0.73,0.722,0.723,0.739,,
H,,,,,,,,,,,,

Cycle 6 (1 h 1 min)
Raw Data (600)

,1,2,3,4,5,6,7,8,9,10,11,12,
