strain,chr,qseqid,start,end,width,i.start,i.end
RM,chrI,REF_UIP3,162695,163402,708,162695,163402
I14,chrI,REF_UIP3,164784,165491,708,164784,165491
273614,chrI,REF_UIP3,165213,165920,708,165213,165920
RM,chrI,REF_PRM9,165767,166460,651,165955,166605
273614,chrI,REF_YAR028W,166335,167039,705,166335,167039
RM,chrI,REF_MST28,167013,167717,705,167013,167717
I14,chrI,DFP16,167207,167917,711,167207,167917
YJM145,chrI,,,,1323,168216,169538
273614,chrI,REF_PRM9,168285,168981,684,168476,169159
RM,chrI,,,,2064,169225,171288
I14,chrI,DFP19,169430,170095,666,169430,170095
273614,chrI,REF_MST28,169534,170238,705,169534,170238
YJM145,chrI,,,,3468,170017,173484
I14,chrI,DFP18,170543,171253,711,170543,171253
PW5,chrI,DFP13,170894,171589,696,170894,171589
CBS2888,chrI,REF_UIP3,171117,171824,708,171117,171824
I14,chrI,DFP22,171708,172398,705,171694,172398
273614,chrI,,,,2064,171746,173809
I14,chrI,REF_YAR028W,172814,173518,705,172814,173518
YJM981,chrI,REF_UIP3,173184,173891,708,173184,173891
CLIB219,chrI,DFP17,173461,174171,711,173461,174171
CBS2888,chrI,REF_YAR028W,173538,174242,705,173538,174242
YJM145,chrI,DFP13,174044,174739,696,174044,174739
PW5,chrI,DFP24,174134,174838,705,174134,174838
YPS163,chrI,DFP25,174283,174993,711,174283,174993
M22,chrI,DFP13,174493,175188,696,174493,175188
YJM454,chrI,DFP13,174495,175190,696,174495,175190
I14,chrI,REF_PRM9,174758,175449,870,174758,175627
CBS2888,chrI,REF_PRM8,175680,176393,852,175542,176393
CLIB219,chrI,DFP19,175684,176349,666,175684,176349
I14,chrI,REF_PRM8,176011,176724,714,176011,176724
YJM981,chrI,REF_PRM9,176252,176945,684,176440,177123
YPS163,chrI,DFP22,176489,177193,705,176489,177193
PW5,chrI,DFP12,176757,177464,708,176757,177464
CBS2888,chrI,REF_MST28,176768,177472,705,176768,177472
CLIB219,chrI,DFP18,176801,177511,711,176801,177511
I14,chrI,REF_MST28,177099,177803,705,177099,177803
YJM145,chrI,DFP14,177316,178029,714,177316,178029
YJM981,chrI,REF_MST28,177498,178202,705,177498,178202
YPS163,chrI,REF_YAR028W,177608,178312,705,177608,178312
M22,chrI,DFP14,177765,178478,714,177765,178478
YJM454,chrI,DFP14,177767,178480,714,177767,178480
YJM978,chrI,,,,1437,177848,179284
PW5,chrI,DFP11,178458,179180,723,178458,179180
YJM145,chrI,DFP12,178471,179178,708,178471,179178
CBS2888,chrI,,,,2064,178851,180914
M22,chrI,DFP12,178920,179627,708,178920,179627
YJM454,chrI,DFP12,178922,179629,708,178922,179629
CLIB219,chrI,DFP26,179008,179694,687,179008,179694
I14,chrI,,,,2064,179196,181259
YJM978,chrI,,,,4041,179241,183281
CLIB413,chrI,REF_UIP3,179339,180046,708,179339,180046
YJM981,chrI,,,,2064,179724,181787
YPS163,chrI,REF_PRM9,179552,180247,684,179742,180425
YJM145,chrI,DFP11,180189,180911,723,180189,180911
CLIB413,chrI,REF_YAR028W,180461,181165,705,180461,181165
M22,chrI,DFP11,180638,181360,723,180638,181360
YJM454,chrI,DFP11,180640,181362,723,180640,181362
YPS163,chrI,REF_MST28,180809,181513,705,180809,181513
PW5,chrI,,,,2061,180874,182934
YJM145,chrI,,,,2052,181983,184034
CLIB219,chrI,,,,2064,182139,184202
YPS1009,chrI,REF_UIP3,182201,182908,708,182201,182908
M22,chrI,,,,2061,182432,184492
YJM454,chrI,,,,2061,182434,184494
CLIB413,chrI,DFP26,182599,183288,792,182497,183288
YPS163,chrI,,,,2064,182843,184906
CLIB413,chrI,DFP20,183670,184374,705,183670,184374
BY,chrI,REF_UIP3,184539,185246,708,184539,185246
YPS1009,chrI,REF_YAR028W,184622,185326,705,184622,185326
BY,chrI,REF_YAR028W,185661,186365,705,185661,186365
CLIB413,chrI,,,,2064,185881,187944
YJM978,chrI,DFP17,186272,186982,711,186272,186982
BY,chrI,REF_PRM9,187605,188501,897,187605,188501
YPS1009,chrI,REF_MST28,187815,188519,705,187815,188519
Y10,chrI,REF_UIP3,188030,188737,708,188030,188737
YJM978,chrI,DFP19,188494,189159,666,188494,189159
BY,chrI,REF_MST28,188876,189580,705,188876,189580
Y10,chrI,REF_YAR028W,189152,189856,705,189152,189856
YJM978,chrI,DFP15,189604,190314,711,189604,190314
YPS1009,chrI,,,,2064,189954,192017
BY,chrI,,,,2064,190962,193025
Y10,chrI,REF_PRM9,191099,191795,684,191290,191973
YJM978,chrI,REF_PRM8,191809,192522,849,191674,192522
Y10,chrI,REF_MST28,192348,193052,705,192348,193052
YJM978,chrI,REF_MST28,192897,193601,705,192897,193601
Y10,chrI,,,,2052,194480,196531
YJM978,chrI,,,,2064,194965,197028
RM,chrI,,,,2925,150805,153729
I14,chrI,,,,2925,153574,156498
273614,chrI,,,,2925,153732,156656
YJM145,chrI,,,,2925,156925,159849
YPS163,chrI,,,,2925,157109,160033
RM,chrI,DFP1,157871,158593,723,157871,158593
PW5,chrI,,,,2925,159677,162601
CBS2888,chrI,,,,2925,159916,162840
I14,chrI,DFP1,160641,161363,723,160641,161363
273614,chrI,DFP1,160802,161524,723,160802,161524
YJM981,chrI,,,,2925,161628,164552
CLIB219,chrI,,,,2925,162247,165171
YJM978,chrI,,,,2925,163293,166217
M22,chrI,,,,2925,163300,166224
YJM454,chrI,,,,2925,163301,166225
YPS163,chrI,DFP1,164177,164899,723,164177,164899
YPS163,chrI,,,,4041,165676,169716
CBS2888,chrI,DFP1,166985,167703,915,166985,167899
CLIB413,chrI,,,,2925,167863,170787
YJM981,chrI,DFP1,168695,169417,723,168695,169417
CLIB219,chrI,DFP1,169319,170041,723,169319,170041
YPS163,chrI,,,,1437,169673,171109
YPS1009,chrI,,,,2925,172278,175202
YJM978,chrI,,,,4041,172436,176476
BY,chrI,,,,2925,172981,175905
CLIB413,chrI,DFP1,174930,175652,723,174930,175652
YJM978,chrI,,,,696,176433,177128
Y10,chrI,,,,2925,176475,179399
YPS1009,chrI,DFP1,179348,180070,723,179348,180070
Y10,chrI,DFP1,183545,184267,723,183545,184267
